one_week_supply_of_eye,laboratory_type_is_other,residents_total_admissions,staff_weekly_suspected_covid,shortage_of_nursing_staff,total_resident_covid_19_deaths_per_1_000_residents,total_number_of_occupied,residents_weekly_all_deaths,any_current_supply_of_n95,submitted_data,ventilator_dependent_unit,number_of_ventilators_in,laboratory_type_is_state,shortage_of_other_staff,any_current_supply_of_gowns,residents_weekly_confirmed,any_current_supply_of,staff_total_covid_19_deaths,residents_weekly_covid_19,staff_total_suspected_covid,one_week_supply_of_surgical,one_week_supply_of_gowns,any_current_supply_of_hand,total_resident_confirmed_covid_19_cases_per_1_000_residents,provider_name,laboratory_type_is_private,initial_confirmed_covid_19_case_this_week,resident_access_to_testing,any_current_supply_of_surgical,county,passed_quality_assurance,staff_weekly_confirmed_covid,one_week_supply_of_hand,residents_total_covid_19,staff_weekly_covid_19_deaths,provider_address,three_or_more_confirmed_and_suspected_covid_19_cases_this_week,provider_zip_code,any_current_supply_of_gloves,federal_provider_number,number_of_all_beds,residents_total_suspected,residents_weekly_suspected,residents_weekly_admissions,staff_total_confirmed_covid,one_week_supply_of_gloves,residents_total_all_deaths,provider_state,shortage_of_clinical_staff,number_of_ventilators_in_1,any_current_supply_of_eye,shortage_of_aides,one_week_supply_of_ventilator,residents_total_confirmed,one_week_supply_of_n95_masks,week_ending,total_residents_covid_19_deaths_as_a_percentage_of_confirmed_covid_19_cases,provider_city
N,Y,1,2,N,13.0,77,5,Y,Y,N,,Y,N,Y,1,,0,1,2,N,N,Y,13.0,LAKE MANASSAS HEALTH & REHABILITATION CENTER,Y,,Y,Y,Prince William,Y,3,N,1,0,14935 HOLLY KNOLL LANE,,20155,Y,495424,0,2,2,1,3,Y,5,VA,N,,Y,N,,1,N,2020/05/24 00:00:00,100.0,GAINESVILLE
Y,Y,1,0,Y,0.0,52,0,Y,Y,N,,Y,N,Y,0,,0,0,4,Y,Y,Y,19.2,HIRAM W DAVIS MEDICAL CTR,N,N,Y,Y,Petersburg City,Y,1,Y,0,0,26317 WEST WASHINGTON STREET,N,23803,Y,495113,90,3,1,0,1,Y,5,VA,N,,Y,Y,,1,Y,2020/06/14 00:00:00,0.0,PETERSBURG
Y,N,3,0,Y,0.0,104,0,Y,Y,N,,N,Y,Y,0,,0,0,189,Y,Y,Y,9.6,BETH SHOLOM HOME OF EASTERN VI,Y,N,Y,Y,Virginia Beach City,Y,1,Y,0,0,6401 AUBURN DR,N,23464,Y,495186,120,2,0,0,8,Y,7,VA,Y,,Y,Y,,1,Y,2020/07/26 00:00:00,0.0,VIRGINIA BEACH
Y,N,1,0,N,0.0,14,0,Y,Y,N,,Y,N,Y,0,,0,0,18,Y,Y,Y,71.4,WESTMINSTER CANTERBURY BLUE RI,Y,N,Y,Y,Albermarle,Y,0,Y,0,0,250 PANTOPS MOUNTAIN RD,N,22911,Y,495225,27,13,0,0,0,Y,6,VA,N,,Y,N,,1,Y,2020/06/07 00:00:00,0.0,CHARLOTTESVILLE
Y,N,0,0,N,33.6,149,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,167.8,ASHLAND NURSING AND REHABILITATION,N,N,Y,Y,Hanover,Y,0,Y,5,0,906 THOMPSON STREET,N,23005,Y,495362,190,0,0,0,37,Y,14,VA,N,,Y,N,,25,Y,2020/07/26 00:00:00,20.0,ASHLAND
Y,N,3,7,N,750.0,8,8,Y,Y,N,,Y,N,Y,9,,0,6,7,Y,Y,Y,1125.0,THE JEFFERSON,Y,,Y,Y,Arlington,Y,12,Y,6,0,900 NORTH TAYLOR STREET,,22203,Y,495269,31,5,5,3,12,Y,8,VA,N,,Y,N,,9,Y,2020/05/24 00:00:00,66.7,ARLINGTON
Y,N,0,0,N,0.0,30,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,OUR LADY OF PERPETUAL HELP,Y,N,Y,Y,Virginia Beach City,Y,0,Y,0,0,4560 PRINCESS ANNE ROAD,N,23462,Y,49E256,30,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,VIRGINIA BEACH
Y,N,0,115,N,0.0,29,1,Y,Y,N,,Y,N,Y,0,,0,0,202,Y,Y,Y,0.0,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,Y,N,Y,Y,Fairfax,Y,0,Y,0,0,9160  BELVOIR WOODS PKWY,N,22060,Y,495197,56,30,1,0,0,Y,4,VA,N,,Y,N,,0,N,2020/06/28 00:00:00,,FORT BELVOIR
Y,N,0,0,N,0.0,50,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,SENTARA NURSING CENTER HAMPTON,N,N,Y,Y,Hampton City,Y,0,Y,0,0,2230 EXECUTIVE DRIVE,N,23666,Y,495287,86,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,HAMPTON
Y,Y,0,0,N,0.0,159,1,Y,Y,N,,Y,N,Y,0,,0,0,3,Y,Y,Y,0.0,VIRGINIA BEACH HEALTHCARE AND REHAB CENTER,Y,N,Y,Y,Virginia Beach City,Y,0,Y,0,0,1801 CAMELOT DRIVE,N,23454,Y,495237,180,6,0,0,0,Y,7,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,VIRGINIA BEACH
Y,N,0,1,N,0.0,70,1,Y,Y,N,,N,N,Y,0,,0,0,1,Y,Y,Y,0.0,LIBERTY RIDGE HEALTH & REHAB,Y,N,Y,Y,Lynchburg City,Y,0,Y,0,0,189 MONICA BLVD,N,24502,Y,495411,90,0,0,0,0,Y,5,VA,N,,Y,N,,0,Y,2020/07/26 00:00:00,,LYNCHBURG
N,Y,0,0,N,0.0,163,1,Y,Y,N,,Y,N,Y,0,,0,0,8,Y,N,Y,0.0,CULPEPER HEALTH & REHABILITATION CENTER,Y,N,Y,Y,Culpeper,Y,0,Y,0,0,602 MADISON ROAD,N,22701,Y,495279,180,6,2,0,0,Y,1,VA,N,,Y,N,,0,N,2020/06/14 00:00:00,,CULPEPER
Y,N,5,0,N,0.0,61,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,852.5,SOUTH ROANOKE NURSING HOME,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,"3823 FRANKLIN RD, SW",N,24014,Y,495002,98,1,0,0,32,Y,14,VA,N,,Y,N,,52,Y,2020/06/28 00:00:00,0.0,ROANOKE
Y,Y,5,0,N,56.6,53,1,Y,Y,,,Y,N,Y,10,,0,1,0,Y,Y,Y,679.2,MANORCARE HEALTH SERVICES-ALEXANDRIA,Y,N,Y,Y,Fairfax,Y,0,Y,3,0,1510 COLLINGWOOD ROAD,Y,22308,Y,495011,96,1,0,2,14,Y,5,VA,N,,Y,N,,36,Y,2020/06/07 00:00:00,8.3,ALEXANDRIA
Y,Y,2,0,N,80.0,50,0,Y,Y,N,,Y,N,Y,0,,0,0,15,Y,Y,Y,340.0,GREENSVILLE HEALTH AND REHABILITATION CENTER,N,N,Y,Y,Emporia City,Y,0,Y,4,0,214 WEAVER AVE,N,23847,Y,495199,65,13,0,0,10,Y,5,VA,N,,Y,N,,17,Y,2020/07/26 00:00:00,23.5,EMPORIA
Y,Y,0,0,N,0.0,98,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,RALEIGH COURT HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,1527 GRANDIN ROAD SOUTHWEST,N,24015,Y,495209,0,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,ROANOKE
Y,N,0,0,N,0.0,102,0,Y,Y,N,,N,N,Y,0,,0,0,9,Y,Y,Y,0.0,WESTMINSTER-CANTERBURY OF LYNCHBURG INC,Y,N,Y,Y,Lynchburg City,Y,1,Y,0,0,501 VES RD,N,24503,Y,495120,105,0,0,0,1,Y,13,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,LYNCHBURG
N,N,0,0,N,0.0,84,0,Y,Y,N,,Y,N,Y,0,,0,0,0,N,N,Y,0.0,SUMMIT HEALTH & REHABILITATION CENTER,Y,N,Y,Y,Lynchburg City,Y,0,N,0,0,1300 ENTERPRISE DRIVE,N,24502,Y,495381,120,0,0,0,0,N,2,VA,N,,Y,N,,0,N,2020/06/28 00:00:00,,LYNCHBURG
Y,N,1,6,N,0.0,94,1,Y,Y,N,,Y,N,Y,0,,0,0,24,Y,Y,Y,0.0,MANORCARE HEALTH SERVICES-IMPERIAL,N,N,Y,Y,Henrico,Y,0,Y,0,0,1719 BELLEVUE AVENUE,N,23227,Y,495283,128,16,0,0,0,Y,6,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,RICHMOND
Y,Y,14,0,N,14.3,140,0,Y,Y,N,,Y,N,Y,1,,0,0,9,Y,Y,Y,378.6,HARRISONBURG HLTH & REHAB CNTR,Y,N,Y,Y,Harrisonburg City,Y,0,Y,2,0,1225 RESERVOIR STREET,N,22801,Y,495093,180,10,0,0,33,Y,7,VA,N,,Y,N,,53,Y,2020/07/26 00:00:00,3.8,HARRISONBURG
Y,N,1,0,N,190.5,21,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,476.2,SEASIDE HHC @ ATLANTIC SHORE,Y,N,Y,Y,Virginia Beach City,Y,0,Y,4,0,1200 ATLANTIC SHORES DRIVE,N,23454,Y,495324,50,0,0,1,6,Y,6,VA,N,,Y,N,,10,Y,2020/06/07 00:00:00,40.0,VIRGINIA BEACH
Y,Y,11,0,N,18.9,53,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,603.8,BURKE HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Fairfax,Y,0,Y,1,0,9640 BURKE LAKE ROAD,N,22015,Y,495248,120,18,1,0,3,Y,7,VA,N,,Y,N,,32,Y,2020/06/28 00:00:00,3.1,BURKE
,,,,,,,,,Y,,,,,,,,,,,,,,,GREENBRIER REGIONAL MEDICAL CENTER,,,,,Chesapeake City,N,,,,,1017 GEORGE WASHINGTON HIGHWAY NORTH,,23323,,495330,,,,,,,,VA,,,,,,,,2020/06/21 00:00:00,,CHESAPEAKE
Y,N,0,0,N,0.0,49,0,Y,Y,Y,9,N,N,Y,0,Y,0,0,0,Y,Y,Y,0.0,BRIAN CENTER HEALTH AND REHABILITATION,Y,,Y,Y,Botetourt,Y,0,Y,0,0,188 OLD FINCASTLE ROAD,,24090,Y,495218,56,0,0,0,0,Y,0,VA,N,0,Y,N,Y,0,Y,2020/05/24 00:00:00,,FINCASTLE
,,,,,,,,,N,,,,,,,,,,,,,,,LITTLE SISTERS OF THE POOR IN RICHMOND,,,,,Henrico,,,,,,1503 MICHAEL ROAD,,23229,,49E151,,,,,,,,VA,,,,,,,,2020/07/19 00:00:00,,RICHMOND
Y,N,1,0,N,0.0,154,0,Y,Y,N,,N,N,Y,0,,0,0,1,Y,N,Y,0.0,"ENVOY OF STAUNTON, LLC",Y,N,Y,Y,Staunton City,Y,0,Y,0,0,512 HOUSTON STREET,N,24401,Y,495243,170,0,0,0,0,Y,3,VA,N,,Y,N,,0,N,2020/06/28 00:00:00,,STAUNTON
Y,Y,0,0,N,0.0,78,1,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,GRETNA HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Pittsylvania,Y,0,Y,0,0,595 VADEN DRIVE,N,24557,Y,495202,90,1,0,0,0,Y,4,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,GRETNA
Y,Y,0,0,N,0.0,94,0,Y,Y,N,,Y,N,Y,0,,0,0,0,N,Y,Y,0.0,BEAUFONT HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Richmond City,Y,0,Y,0,0,200 HIOAKS ROAD,N,23225,Y,495260,120,5,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,RICHMOND
Y,N,0,0,N,0.0,135,0,Y,Y,N,,Y,N,Y,0,,0,0,8,Y,Y,Y,0.0,ENVOY OF WESTOVER HILLS,N,N,Y,Y,Richmond City,Y,0,Y,0,0,4403 FOREST HILL AVENUE,N,23225,Y,495327,174,1,0,0,0,Y,11,VA,N,,Y,Y,,0,Y,2020/06/21 00:00:00,,RICHMOND
Y,N,0,1,N,20.2,99,0,Y,Y,N,,Y,N,Y,4,,0,0,8,Y,Y,Y,90.9,MANASSAS HEALTH AND REHAB CENTER,Y,N,Y,Y,Manassas City,Y,0,Y,2,0,8575 RIXLEW LANE,Y,20109,Y,495038,120,23,5,0,0,Y,3,VA,N,,Y,N,,9,Y,2020/05/31 00:00:00,22.2,MANASSAS
Y,N,0,0,N,0.0,73,0,Y,Y,N,,Y,N,Y,0,,9,0,35,Y,Y,Y,0.0,GRACE HEALTH AND REHAB CENTER OF GREENE COUNTY,Y,N,Y,Y,Greene,Y,0,Y,0,0,355 WILLIAM MILLS DRIVE,N,22973,Y,495343,90,19,0,0,20,Y,8,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,STANARDSVILLE
Y,N,0,0,N,0.0,208,2,Y,Y,N,,N,N,Y,0,,0,0,2,Y,Y,Y,0.0,FRIENDSHIP HEALTH AND REHAB CENTER,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,327 HERSHBERGER RD NW,N,24012,Y,495092,253,0,0,0,7,Y,13,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,ROANOKE
Y,N,0,0,N,0.0,98,2,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,N,Y,0.0,WOODMONT CENTER,Y,N,Y,Y,Stafford,Y,0,Y,0,0,11 DAIRY LANE,N,22405,Y,495246,118,0,0,0,0,Y,4,VA,N,,Y,N,,0,N,2020/06/21 00:00:00,,FREDERICKSBURG
Y,N,0,0,N,0.0,29,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,OUR LADY OF PERPETUAL HELP,Y,N,Y,Y,Virginia Beach City,Y,0,Y,0,0,4560 PRINCESS ANNE ROAD,N,23462,Y,49E256,30,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/28 00:00:00,,VIRGINIA BEACH
Y,N,0,0,N,0.0,47,0,Y,Y,N,,N,N,Y,0,,0,0,7,Y,Y,Y,0.0,THE WYBE AND MARIETJE KROONTJE HEALTH CARE CENTER,Y,N,Y,Y,Montgomery,Y,0,Y,0,0,1000 LITTON LANE,N,24060,Y,495406,60,4,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,BLACKSBURG
,,,,,,,,,N,,,,,,,,,,,,,,,THE REHAB CENTER AT BRISTOL,,,,,Bristol City,,,,,,109 VILLAGE CIRCLE,,24201,,495425,,,,,,,,VA,,,,,,,,2020/06/14 00:00:00,,BRISTOL
Y,N,0,2,N,0.0,139,0,Y,Y,N,,Y,N,Y,0,,0,0,83,Y,Y,Y,21.6,JAMES RIVER CONVALESCENT CENTE,Y,N,Y,Y,Newport News City,Y,0,Y,0,0,540 ABERTHAW AVENUE,N,23601,Y,495286,154,117,0,0,1,Y,47,VA,N,,Y,N,,3,Y,2020/07/26 00:00:00,0.0,NEWPORT NEWS
N,N,0,0,N,0.0,71,0,Y,Y,N,,Y,N,Y,0,,0,0,0,N,N,Y,0.0,SUMMIT HEALTH & REHABILITATION CENTER,Y,,Y,Y,Lynchburg City,Y,0,N,0,0,1300 ENTERPRISE DRIVE,,24502,Y,495381,120,0,0,0,0,N,0,VA,N,,Y,N,,0,N,2020/05/24 00:00:00,,LYNCHBURG
Y,Y,0,0,N,0.0,166,0,Y,Y,N,,Y,N,Y,2,,0,0,13,Y,N,Y,12.0,CULPEPER HEALTH & REHABILITATION CENTER,Y,Y,Y,Y,Culpeper,Y,0,Y,0,0,602 MADISON ROAD,N,22701,Y,495279,180,7,0,0,0,Y,4,VA,N,,Y,N,,2,N,2020/07/05 00:00:00,0.0,CULPEPER
Y,Y,0,0,N,196.7,122,0,Y,Y,N,,N,N,Y,1,,0,0,0,Y,Y,Y,180.3,"REGENCY CARE OF ARLINGTON, LLC",Y,N,Y,Y,Arlington,Y,0,Y,24,0,1785 SOUTH HAYES STREET,N,22202,Y,495114,240,0,0,0,23,Y,24,VA,N,,Y,N,,22,Y,2020/07/26 00:00:00,109.1,ARLINGTON
Y,N,0,0,N,0.0,61,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,WOODHAVEN HALL AT WILLIAMSBURG LANDING,Y,N,Y,Y,James City,Y,0,Y,0,0,5500 WILLIAMSBURG LANDING DR,N,23185,Y,495184,73,0,0,0,1,Y,0,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,WILLIAMSBURG
Y,N,0,0,N,0.0,81,1,Y,Y,N,,Y,N,Y,0,,0,0,5,Y,Y,Y,0.0,WELLSPRINGS AT AMELIA,N,N,Y,Y,Amelia,Y,0,Y,0,0,8830 VIRGINIA STREET,N,23002,Y,495358,100,0,0,0,2,Y,1,VA,Y,,Y,N,,0,Y,2020/06/07 00:00:00,,AMELIA
Y,Y,1,0,N,0.0,94,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,ALBEMARLE HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Albermarle,Y,0,Y,0,0,1540 FOUNDERS PLACE,N,22902,Y,495420,120,0,0,0,2,Y,4,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,CHARLOTTESVILLE
Y,N,0,0,N,0.0,11,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,AUGUSTA MEDICAL CTR SKILLED CA,Y,N,Y,Y,Augusta,Y,0,Y,0,0,78 MEDICAL CENTER DRIVE,N,22939,Y,495214,17,0,0,0,1,Y,0,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,FISHERSVILLE
Y,Y,4,0,Y,0.0,67,0,Y,Y,N,,Y,Y,Y,0,,1,0,0,Y,Y,Y,0.0,ACCORDIUS HEALTH AT HARRISONBURG LLC,Y,N,Y,Y,Harrisonburg City,Y,0,Y,0,0,94 SOUTH AVENUE,N,22801,Y,495146,117,0,0,0,0,Y,0,VA,N,,Y,Y,,0,Y,2020/07/05 00:00:00,,HARRISONBURG
Y,N,1,0,N,0.0,107,1,Y,Y,N,,Y,N,Y,0,,0,0,8,Y,Y,Y,28.0,SHORE HEALTH & REHAB CENTER,Y,N,Y,Y,Accomack,Y,0,Y,0,0,26181 PARKSLEY ROAD,N,23421,Y,495334,136,4,0,0,10,Y,2,VA,N,,Y,N,,3,Y,2020/07/05 00:00:00,0.0,PARKSLEY
Y,N,2,0,N,0.0,115,0,Y,Y,N,,Y,N,Y,1,,0,0,8,Y,Y,Y,34.8,SHORE HEALTH & REHAB CENTER,Y,N,Y,Y,Accomack,Y,0,Y,0,0,26181 PARKSLEY ROAD,N,23421,Y,495334,136,4,0,1,10,Y,3,VA,N,,Y,N,,4,Y,2020/07/19 00:00:00,0.0,PARKSLEY
Y,N,0,2,N,0.0,54,0,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,RIVERSIDE CONVALESCENT CNTR WE,Y,,Y,Y,King William,Y,0,Y,0,0,2960 CHELSEA ROAD,,23181,Y,495303,60,2,2,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,WEST POINT
Y,N,0,0,N,0.0,128,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,BROOKSIDE REHAB & NURSING CENTER,N,N,Y,Y,Fauquier,Y,0,Y,0,0,614 HASTINGS LANE,N,20186,Y,495267,130,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/28 00:00:00,,WARRENTON
Y,N,0,0,Y,0.0,71,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,GRACE HEALTHCARE OF ABINGDON,Y,N,Y,Y,Washington,Y,0,Y,0,0,600 WALDEN ROAD,N,24210,Y,495338,119,0,0,0,0,Y,17,VA,N,,Y,Y,,0,Y,2020/06/21 00:00:00,,ABINGDON
Y,N,0,2,N,0.0,111,1,Y,Y,N,,N,N,Y,0,,0,0,5,Y,Y,Y,0.0,ROCKY MOUNT HEALTH & REHAB CENTER,Y,N,Y,Y,Franklin,Y,0,Y,0,0,300 HATCHER STREET,N,24151,Y,495118,180,2,2,0,0,Y,3,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,ROCKY MOUNT
Y,N,2,2,N,31.0,129,3,Y,Y,N,,Y,N,Y,3,,0,1,4,Y,N,Y,294.6,SIGNATURE HEALTHCARE OF NORFOLK,Y,N,Y,Y,Norfolk City,Y,3,Y,4,0,1005 HAMPTON BLVD,Y,23507,Y,495068,169,4,3,2,11,Y,9,VA,N,,Y,N,,38,N,2020/06/28 00:00:00,10.5,NORFOLK
Y,Y,0,0,N,0.0,120,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,EVERGREEN HEALTH AND REHAB,Y,,Y,Y,Winchester City,Y,0,Y,0,0,380 MILLWOOD AVENUE,,22601,Y,495142,176,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,WINCHESTER
Y,N,0,0,N,0.0,80,1,Y,Y,N,,N,N,Y,0,,0,0,4,Y,Y,Y,0.0,DOCKSIDE HEALTH & REHAB CENTER,Y,N,Y,Y,Middlesex,Y,0,Y,0,0,74 MIZPAH ROAD,N,23092,Y,495422,94,0,0,0,0,Y,5,VA,N,,Y,N,,0,N,2020/07/05 00:00:00,,LOCUST HILL
N,N,2,0,Y,51.5,97,0,Y,Y,N,,Y,N,Y,0,,0,0,0,N,N,Y,278.4,WONDER CITY REHABILITATION AND NURSING CENTER,Y,N,Y,Y,Hopewell City,Y,0,Y,5,0,905 COUSINS AVENUE,N,23860,Y,495123,130,5,1,1,6,Y,7,VA,N,,Y,Y,,27,N,2020/06/14 00:00:00,18.5,HOPEWELL
Y,Y,0,1,N,0.0,140,2,Y,Y,N,,Y,N,Y,0,,0,0,1,Y,N,Y,0.0,NORFOLK HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Norfolk City,Y,0,Y,0,0,901 EAST PRINCESS ANNE ROAD,Y,23504,Y,495210,180,13,5,0,0,Y,3,VA,N,,Y,N,,0,N,2020/06/07 00:00:00,,NORFOLK
Y,N,0,0,N,0.0,115,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,BATTLEFIELD PARK HEALTHCARE CENTER,Y,N,Y,Y,Petersburg City,Y,0,Y,0,0,250 FLANK ROAD,N,23805,Y,495252,120,0,0,0,0,Y,2,VA,N,,Y,Y,,0,Y,2020/06/28 00:00:00,,PETERSBURG
Y,Y,0,2,N,0.0,82,0,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,GRETNA HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Pittsylvania,Y,0,Y,0,0,595 VADEN DRIVE,N,24557,Y,495202,90,1,1,0,0,Y,3,VA,N,,Y,N,,0,Y,2020/07/12 00:00:00,,GRETNA
Y,N,0,0,N,0.0,39,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,SNYDER NURSING HOME,Y,N,Y,Y,Salem City,Y,0,Y,0,0,11 NORTH BROAD ST,N,24153,Y,49E076,45,0,0,0,0,Y,0,VA,N,,Y,N,,0,N,2020/06/07 00:00:00,,SALEM
Y,N,0,1,N,0.0,15,0,Y,Y,N,,N,N,Y,0,,0,0,2,Y,Y,Y,0.0,SUMMIT SQUARE,Y,N,Y,Y,Waynesboro City,Y,0,Y,0,0,501 OAK AVENUE,N,22980,Y,495405,18,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,WAYNESBORO
Y,N,14,0,N,288.9,45,1,Y,Y,N,,Y,N,Y,0,,0,0,4,Y,Y,Y,555.6,THE VIRGINIAN,Y,N,Y,Y,Fairfax City,Y,0,Y,13,0,9229 ARLINGTON BLVD,N,22031,Y,495319,81,15,0,0,18,Y,15,VA,N,,Y,N,,25,Y,2020/06/21 00:00:00,52.0,FAIRFAX
Y,N,13,0,N,8.9,112,0,Y,Y,N,,N,N,Y,1,,0,0,4,Y,Y,Y,116.1,MANORCARE HEALTH SERVICES-ARLINGTON,Y,N,Y,Y,Arlington,Y,0,Y,1,0,550 SOUTH CARLIN SPRINGS ROAD,Y,22204,Y,495102,157,9,2,6,2,Y,1,VA,N,,Y,N,,13,Y,2020/05/31 00:00:00,7.7,ARLINGTON
Y,Y,0,0,N,0.0,104,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,FREDERICKSBURG HEALTH AND REHAB,N,,Y,Y,Spotsylvania,Y,0,Y,0,0,3900 PLANK ROAD,,22407,Y,495240,140,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,FREDERICKSBURG
Y,N,0,0,N,0.0,41,1,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,"FRANCIS N SANDERS NURSING HOME, INC",Y,,Y,Y,Gloucester,Y,0,Y,0,0,7385 WALKER AVE,,23061,Y,495383,55,1,1,0,0,Y,1,VA,N,,Y,N,,0,Y,2020/05/24 00:00:00,,GLOUCESTER
Y,N,0,0,N,0.0,33,0,Y,Y,N,,N,N,Y,0,,0,0,2,Y,Y,Y,0.0,RAPPAHANNOCK WESTMINSTER CANTE,Y,N,Y,Y,Lancaster,Y,0,Y,0,0,132  LANCASTER DRIVE,N,22480,Y,495160,42,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/06/07 00:00:00,,IRVINGTON
Y,N,1,0,N,0.0,21,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,"LAKE PRINCE WOODS, INC",Y,N,Y,Y,Suffolk City,Y,1,Y,0,0,100 ANNA GOODE WAY,N,23434,Y,495366,40,0,0,0,1,Y,0,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,SUFFOLK
Y,N,0,0,N,0.0,65,0,Y,Y,N,,Y,N,Y,0,,0,0,2,Y,Y,Y,0.0,NORTHAMPTON CONVALESCENT AND REHABILITATION CENTER,Y,N,Y,Y,Hampton City,Y,1,Y,0,0,1028 TOPPING LANE,N,23666,Y,495367,70,18,0,0,2,Y,10,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,HAMPTON
Y,N,0,0,N,0.0,102,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,AUGUSTA NURSING & REHAB CENTER,Y,N,Y,Y,Augusta,Y,0,Y,0,0,83 CROSSROADS LANE,N,22939,Y,495336,112,0,0,0,0,Y,28,VA,N,,Y,N,,0,Y,2020/07/26 00:00:00,,FISHERSVILLE
Y,N,0,0,N,0.0,79,0,Y,Y,N,,Y,N,Y,0,,0,0,16,Y,Y,Y,12.7,LANCASHIRE CONVALESCENT AND REHABILITATION CENTER,Y,N,Y,Y,Lancaster,Y,0,Y,0,0,287 SCHOOL STREET,N,22482,Y,495345,120,11,0,0,0,Y,10,VA,N,,Y,N,,1,Y,2020/07/05 00:00:00,0.0,KILMARNOCK
Y,N,13,0,N,260.9,46,2,Y,Y,N,,Y,N,Y,2,,0,2,4,Y,Y,Y,434.8,THE VIRGINIAN,Y,N,Y,Y,Fairfax City,Y,8,Y,12,0,9229 ARLINGTON BLVD,N,22031,Y,495319,81,14,0,0,16,Y,13,VA,N,,Y,N,,20,Y,2020/06/07 00:00:00,60.0,FAIRFAX
