"Healthcare Provider","Doses Administered","Doses Received"
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",41,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",80,200
"Small Provider (<500 Doses)",57,80
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",97,150
"Small Provider (<500 Doses)",27,0
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",17,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",300,0
"Small Provider (<500 Doses)",447,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",44,0
"Small Provider (<500 Doses)",100,100
"Small Provider (<500 Doses)",53,0
"Small Provider (<500 Doses)",116,200
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",218,300
"Small Provider (<500 Doses)",108,0
"Small Provider (<500 Doses)",103,100
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",477,400
"Small Provider (<500 Doses)",4,100
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",265,100
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",181,200
"Small Provider (<500 Doses)",22,50
"Small Provider (<500 Doses)",345,0
"Small Provider (<500 Doses)",315,300
"Small Provider (<500 Doses)",297,300
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",211,200
"Small Provider (<500 Doses)",34,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",50,0
"Small Provider (<500 Doses)",66,0
"Small Provider (<500 Doses)",51,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",58,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",28,0
"Small Provider (<500 Doses)",101,0
"Small Provider (<500 Doses)",79,0
"Small Provider (<500 Doses)",7,0
"Small Provider (<500 Doses)",32,0
"Small Provider (<500 Doses)",45,0
"Small Provider (<500 Doses)",26,0
"Small Provider (<500 Doses)",97,0
"Small Provider (<500 Doses)",24,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",25,0
"Small Provider (<500 Doses)",8,0
"Small Provider (<500 Doses)",23,0
"Small Provider (<500 Doses)",45,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",20,0
"Small Provider (<500 Doses)",54,0
"Small Provider (<500 Doses)",38,0
"Small Provider (<500 Doses)",15,0
"Small Provider (<500 Doses)",9,50
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",29,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",173,0
"Small Provider (<500 Doses)",23,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",32,0
"Small Provider (<500 Doses)",72,0
"Small Provider (<500 Doses)",33,0
"Small Provider (<500 Doses)",18,0
"Small Provider (<500 Doses)",22,0
"Small Provider (<500 Doses)",4,0
"Small Provider (<500 Doses)",14,0
"Small Provider (<500 Doses)",76,0
"Small Provider (<500 Doses)",17,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",31,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",22,0
"Small Provider (<500 Doses)",29,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",160,0
"Small Provider (<500 Doses)",16,0
"Small Provider (<500 Doses)",97,0
"Small Provider (<500 Doses)",27,0
"Small Provider (<500 Doses)",21,0
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",305,300
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",9,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",332,400
"Small Provider (<500 Doses)",106,300
"Small Provider (<500 Doses)",156,200
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",433,200
"Small Provider (<500 Doses)",67,0
"Small Provider (<500 Doses)",1,30
"Small Provider (<500 Doses)",11,0
"Small Provider (<500 Doses)",1,0
"Small Provider (<500 Doses)",3,0
"Small Provider (<500 Doses)",5,0
"Small Provider (<500 Doses)",6,0
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,300
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,100
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",0,200
"Small Provider (<500 Doses)",172,200
"Small Provider (<500 Doses)",291,300
"Small Provider (<500 Doses)",104,100
"Small Provider (<500 Doses)",2,0
"Small Provider (<500 Doses)",296,200
"Small Provider (<500 Doses)",13,0
"Small Provider (<500 Doses)",2,0
"SMJMG- Martha Jefferson Internal Medicine",683,1000
"SMJMG- Palmyra Medical Associates",551,800
"South Hill Family Medicine",1048,1020
"Sovah Health - Danville Hospital",10876,9923
"Sovah Health - Martinsville Hospital",2100,8850
"SPOTSYLVANIA CO HD-CH COMPLEX",989,100
"SRMG- South Main Health Center",747,800
"SRMG- Timber Way Health Center",640,800
"SSHD-MECKLENBURG COUNTY HD",2847,4100
"State Farm EU",1810,2300
"Strasburg Pharmacy",755,900
"Sussex 2 State Prison",1863,1100
"The Medicine Shoppe Pharmacy 1500",634,600
"The Prescription Shoppe",880,900
"TPMG - Newport News Internal Medicine",83,600
"TRHD - Middlesex County Health Department",4802,5430
"Twin County Regional Hospital",2766,2650
"UVA Health System",48233,51725
"ValleyHealth-Winchester Medical Center",53414,54100
"Vandorn Apothecary Pharmacy",3551,5070
"VBHD-Virginia Beach Health Department",37480,42125
"VCU Community Memorial Hospital",2962,3410
VDH-703,702,1000
VDH-704,884,1000
VDH-705,777,1000
VDH-706,888,900
VDH-724,383,500
VDH-794,544,600
"Vibra Hospital Of Richmond",0,500
"Virginia Hospital Center",17191,17650
"Virginia Oncology Associates",111,975
"WalMart - Parent",3033,0
"Westwood Pharmacy",23817,37450
"WPHD-HENRY/MARTINSVILLE Health Department",4047,4600
"WTHD-SUFFOLK CITY HD",9110,9500
"Wythe County Community Hospital",755,1200
