Healthcare Provider,Doses Administered,Doses Received,Date
Small Provider (<500 Doses),339,300,2021-02-24
Small Provider (<500 Doses),77,100,2021-02-24
Small Provider (<500 Doses),74,160,2021-02-24
Small Provider (<500 Doses),300,0,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),182,200,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),33,0,2021-02-24
Small Provider (<500 Doses),230,200,2021-02-24
Small Provider (<500 Doses),62,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),113,100,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),190,211,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),241,400,2021-02-24
Small Provider (<500 Doses),308,400,2021-02-24
Small Provider (<500 Doses),54,100,2021-02-24
Small Provider (<500 Doses),136,400,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),499,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),226,200,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),167,190,2021-02-24
Small Provider (<500 Doses),26,0,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),96,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),31,0,2021-02-24
Small Provider (<500 Doses),190,200,2021-02-24
Small Provider (<500 Doses),197,100,2021-02-24
Small Provider (<500 Doses),105,0,2021-02-24
Small Provider (<500 Doses),149,200,2021-02-24
Small Provider (<500 Doses),109,0,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),4,100,2021-02-24
Small Provider (<500 Doses),366,300,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),109,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),115,200,2021-02-24
Small Provider (<500 Doses),63,0,2021-02-24
Small Provider (<500 Doses),253,200,2021-02-24
Small Provider (<500 Doses),18,100,2021-02-24
Small Provider (<500 Doses),189,200,2021-02-24
Small Provider (<500 Doses),185,200,2021-02-24
Small Provider (<500 Doses),12,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),14,0,2021-02-24
Small Provider (<500 Doses),32,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),21,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),54,0,2021-02-24
Small Provider (<500 Doses),17,0,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),0,0,2021-02-24
Small Provider (<500 Doses),98,0,2021-02-24
Small Provider (<500 Doses),113,110,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),95,100,2021-02-24
Small Provider (<500 Doses),165,0,2021-02-24
Small Provider (<500 Doses),37,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),50,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),73,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),95,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),191,0,2021-02-24
Small Provider (<500 Doses),73,0,2021-02-24
Small Provider (<500 Doses),63,0,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),71,0,2021-02-24
Small Provider (<500 Doses),115,0,2021-02-24
Small Provider (<500 Doses),21,0,2021-02-24
Small Provider (<500 Doses),164,0,2021-02-24
Small Provider (<500 Doses),43,0,2021-02-24
Small Provider (<500 Doses),55,0,2021-02-24
Small Provider (<500 Doses),85,0,2021-02-24
Small Provider (<500 Doses),54,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),77,0,2021-02-24
Small Provider (<500 Doses),25,0,2021-02-24
Small Provider (<500 Doses),41,0,2021-02-24
Small Provider (<500 Doses),413,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),36,0,2021-02-24
Small Provider (<500 Doses),14,0,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),96,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),17,0,2021-02-24
Small Provider (<500 Doses),35,0,2021-02-24
Small Provider (<500 Doses),29,0,2021-02-24
Small Provider (<500 Doses),15,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),368,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),122,0,2021-02-24
Small Provider (<500 Doses),248,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),33,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),249,250,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),115,0,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),41,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),80,200,2021-02-24
Small Provider (<500 Doses),57,80,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),97,150,2021-02-24
Small Provider (<500 Doses),27,0,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),17,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),300,0,2021-02-24
Small Provider (<500 Doses),447,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),44,0,2021-02-24
Small Provider (<500 Doses),100,100,2021-02-24
Small Provider (<500 Doses),53,0,2021-02-24
Small Provider (<500 Doses),116,200,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),218,300,2021-02-24
Small Provider (<500 Doses),108,0,2021-02-24
Small Provider (<500 Doses),103,100,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),477,400,2021-02-24
Small Provider (<500 Doses),4,100,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),265,100,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),181,200,2021-02-24
Small Provider (<500 Doses),22,50,2021-02-24
Small Provider (<500 Doses),345,0,2021-02-24
Small Provider (<500 Doses),315,300,2021-02-24
Small Provider (<500 Doses),297,300,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),211,200,2021-02-24
Small Provider (<500 Doses),34,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),50,0,2021-02-24
Small Provider (<500 Doses),66,0,2021-02-24
Small Provider (<500 Doses),51,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),58,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),28,0,2021-02-24
Small Provider (<500 Doses),101,0,2021-02-24
Small Provider (<500 Doses),79,0,2021-02-24
Small Provider (<500 Doses),7,0,2021-02-24
Small Provider (<500 Doses),32,0,2021-02-24
Small Provider (<500 Doses),45,0,2021-02-24
Small Provider (<500 Doses),26,0,2021-02-24
Small Provider (<500 Doses),97,0,2021-02-24
Small Provider (<500 Doses),24,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),25,0,2021-02-24
Small Provider (<500 Doses),8,0,2021-02-24
Small Provider (<500 Doses),23,0,2021-02-24
Small Provider (<500 Doses),45,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),20,0,2021-02-24
Small Provider (<500 Doses),54,0,2021-02-24
Small Provider (<500 Doses),38,0,2021-02-24
Small Provider (<500 Doses),15,0,2021-02-24
Small Provider (<500 Doses),9,50,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),29,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),173,0,2021-02-24
Small Provider (<500 Doses),23,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),32,0,2021-02-24
Small Provider (<500 Doses),72,0,2021-02-24
Small Provider (<500 Doses),33,0,2021-02-24
Small Provider (<500 Doses),18,0,2021-02-24
Small Provider (<500 Doses),22,0,2021-02-24
Small Provider (<500 Doses),4,0,2021-02-24
Small Provider (<500 Doses),14,0,2021-02-24
Small Provider (<500 Doses),76,0,2021-02-24
Small Provider (<500 Doses),17,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),31,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),22,0,2021-02-24
Small Provider (<500 Doses),29,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),160,0,2021-02-24
Small Provider (<500 Doses),16,0,2021-02-24
Small Provider (<500 Doses),97,0,2021-02-24
Small Provider (<500 Doses),27,0,2021-02-24
Small Provider (<500 Doses),21,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),305,300,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),9,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),332,400,2021-02-24
Small Provider (<500 Doses),106,300,2021-02-24
Small Provider (<500 Doses),156,200,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),433,200,2021-02-24
Small Provider (<500 Doses),67,0,2021-02-24
Small Provider (<500 Doses),1,30,2021-02-24
Small Provider (<500 Doses),11,0,2021-02-24
Small Provider (<500 Doses),1,0,2021-02-24
Small Provider (<500 Doses),3,0,2021-02-24
Small Provider (<500 Doses),5,0,2021-02-24
Small Provider (<500 Doses),6,0,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,300,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,100,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),0,200,2021-02-24
Small Provider (<500 Doses),172,200,2021-02-24
Small Provider (<500 Doses),291,300,2021-02-24
Small Provider (<500 Doses),104,100,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
Small Provider (<500 Doses),296,200,2021-02-24
Small Provider (<500 Doses),13,0,2021-02-24
Small Provider (<500 Doses),2,0,2021-02-24
SMJMG- Martha Jefferson Internal Medicine,683,1000,2021-02-24
SMJMG- Palmyra Medical Associates,551,800,2021-02-24
South Hill Family Medicine,1048,1020,2021-02-24
Sovah Health - Danville Hospital,10876,9923,2021-02-24
Sovah Health - Martinsville Hospital,2100,8850,2021-02-24
SPOTSYLVANIA CO HD-CH COMPLEX,989,100,2021-02-24
SRMG- South Main Health Center,747,800,2021-02-24
SRMG- Timber Way Health Center,640,800,2021-02-24
SSHD-MECKLENBURG COUNTY HD,2847,4100,2021-02-24
State Farm EU,1810,2300,2021-02-24
Strasburg Pharmacy,755,900,2021-02-24
Sussex 2 State Prison,1863,1100,2021-02-24
The Medicine Shoppe Pharmacy 1500,634,600,2021-02-24
The Prescription Shoppe,880,900,2021-02-24
TPMG - Newport News Internal Medicine,83,600,2021-02-24
TRHD - Middlesex County Health Department,4802,5430,2021-02-24
Twin County Regional Hospital,2766,2650,2021-02-24
UVA Health System,48233,51725,2021-02-24
ValleyHealth-Winchester Medical Center,53414,54100,2021-02-24
Vandorn Apothecary Pharmacy,3551,5070,2021-02-24
VBHD-Virginia Beach Health Department,37480,42125,2021-02-24
VCU Community Memorial Hospital,2962,3410,2021-02-24
VDH-703,702,1000,2021-02-24
VDH-704,884,1000,2021-02-24
VDH-705,777,1000,2021-02-24
VDH-706,888,900,2021-02-24
VDH-724,383,500,2021-02-24
VDH-794,544,600,2021-02-24
Vibra Hospital Of Richmond,0,500,2021-02-24
Virginia Hospital Center,17191,17650,2021-02-24
Virginia Oncology Associates,111,975,2021-02-24
WalMart - Parent,3033,0,2021-02-24
Westwood Pharmacy,23817,37450,2021-02-24
WPHD-HENRY/MARTINSVILLE Health Department,4047,4600,2021-02-24
WTHD-SUFFOLK CITY HD,9110,9500,2021-02-24
Wythe County Community Hospital,755,1200,2021-02-24
