Healthcare Provider,Doses Administered,Doses Received,Date
Small Provider (<500),40,0,2021-02-18
Small Provider (<500),40,0,2021-02-18
Small Provider (<500),41,0,2021-02-18
Small Provider (<500),41,0,2021-02-18
Small Provider (<500),41,40,2021-02-18
Small Provider (<500),42,70,2021-02-18
Small Provider (<500),43,0,2021-02-18
Small Provider (<500),44,0,2021-02-18
Small Provider (<500),44,0,2021-02-18
Small Provider (<500),44,0,2021-02-18
Small Provider (<500),44,0,2021-02-18
Small Provider (<500),44,0,2021-02-18
Small Provider (<500),46,0,2021-02-18
Small Provider (<500),46,0,2021-02-18
Small Provider (<500),46,0,2021-02-18
Small Provider (<500),46,60,2021-02-18
Small Provider (<500),46,60,2021-02-18
Small Provider (<500),47,0,2021-02-18
Small Provider (<500),47,45,2021-02-18
Small Provider (<500),47,400,2021-02-18
Small Provider (<500),48,0,2021-02-18
Small Provider (<500),48,0,2021-02-18
Small Provider (<500),49,0,2021-02-18
Small Provider (<500),51,0,2021-02-18
Small Provider (<500),51,100,2021-02-18
Small Provider (<500),52,0,2021-02-18
Small Provider (<500),52,0,2021-02-18
Small Provider (<500),53,0,2021-02-18
Small Provider (<500),53,60,2021-02-18
Small Provider (<500),54,0,2021-02-18
Small Provider (<500),55,0,2021-02-18
Small Provider (<500),55,100,2021-02-18
Small Provider (<500),55,100,2021-02-18
Small Provider (<500),56,120,2021-02-18
Small Provider (<500),57,0,2021-02-18
Small Provider (<500),57,0,2021-02-18
Small Provider (<500),57,0,2021-02-18
Small Provider (<500),59,0,2021-02-18
Small Provider (<500),60,0,2021-02-18
Small Provider (<500),60,0,2021-02-18
Small Provider (<500),60,0,2021-02-18
Small Provider (<500),60,100,2021-02-18
Small Provider (<500),60,110,2021-02-18
Small Provider (<500),61,0,2021-02-18
Small Provider (<500),61,0,2021-02-18
Small Provider (<500),61,200,2021-02-18
Small Provider (<500),62,0,2021-02-18
Small Provider (<500),63,0,2021-02-18
Small Provider (<500),63,0,2021-02-18
Small Provider (<500),64,450,2021-02-18
Small Provider (<500),65,0,2021-02-18
Small Provider (<500),66,0,2021-02-18
Small Provider (<500),67,0,2021-02-18
Small Provider (<500),67,0,2021-02-18
Small Provider (<500),67,0,2021-02-18
Small Provider (<500),67,100,2021-02-18
Small Provider (<500),68,0,2021-02-18
Small Provider (<500),70,0,2021-02-18
Small Provider (<500),70,100,2021-02-18
Small Provider (<500),70,200,2021-02-18
Small Provider (<500),72,0,2021-02-18
Small Provider (<500),72,130,2021-02-18
Small Provider (<500),74,0,2021-02-18
Small Provider (<500),74,0,2021-02-18
Small Provider (<500),74,160,2021-02-18
Small Provider (<500),76,0,2021-02-18
Small Provider (<500),76,0,2021-02-18
Small Provider (<500),77,0,2021-02-18
Small Provider (<500),80,40,2021-02-18
Small Provider (<500),81,0,2021-02-18
Small Provider (<500),82,0,2021-02-18
Small Provider (<500),85,200,2021-02-18
Small Provider (<500),86,200,2021-02-18
Small Provider (<500),87,0,2021-02-18
Small Provider (<500),87,0,2021-02-18
Small Provider (<500),88,75,2021-02-18
Small Provider (<500),88,100,2021-02-18
Small Provider (<500),88,300,2021-02-18
Small Provider (<500),89,0,2021-02-18
Small Provider (<500),89,130,2021-02-18
Small Provider (<500),90,0,2021-02-18
Small Provider (<500),90,0,2021-02-18
Small Provider (<500),91,0,2021-02-18
Small Provider (<500),91,0,2021-02-18
Small Provider (<500),93,0,2021-02-18
Small Provider (<500),93,250,2021-02-18
Small Provider (<500),94,200,2021-02-18
Small Provider (<500),96,0,2021-02-18
Small Provider (<500),96,300,2021-02-18
Small Provider (<500),97,0,2021-02-18
Small Provider (<500),97,0,2021-02-18
Small Provider (<500),98,0,2021-02-18
Small Provider (<500),98,50,2021-02-18
Small Provider (<500),99,100,2021-02-18
Small Provider (<500),99,100,2021-02-18
Small Provider (<500),99,200,2021-02-18
Small Provider (<500),100,100,2021-02-18
Small Provider (<500),100,300,2021-02-18
Small Provider (<500),102,100,2021-02-18
Small Provider (<500),102,200,2021-02-18
Small Provider (<500),103,100,2021-02-18
Small Provider (<500),103,100,2021-02-18
Small Provider (<500),103,200,2021-02-18
Small Provider (<500),104,0,2021-02-18
Small Provider (<500),104,0,2021-02-18
Small Provider (<500),104,100,2021-02-18
Small Provider (<500),105,80,2021-02-18
Small Provider (<500),105,85,2021-02-18
Small Provider (<500),106,0,2021-02-18
Small Provider (<500),107,150,2021-02-18
Small Provider (<500),107,300,2021-02-18
Small Provider (<500),108,0,2021-02-18
Small Provider (<500),108,100,2021-02-18
Small Provider (<500),110,0,2021-02-18
Small Provider (<500),110,0,2021-02-18
Small Provider (<500),111,150,2021-02-18
Small Provider (<500),112,0,2021-02-18
Small Provider (<500),112,0,2021-02-18
Small Provider (<500),112,0,2021-02-18
Small Provider (<500),112,0,2021-02-18
Small Provider (<500),112,200,2021-02-18
Small Provider (<500),113,0,2021-02-18
Small Provider (<500),115,0,2021-02-18
Small Provider (<500),115,0,2021-02-18
Small Provider (<500),115,0,2021-02-18
Small Provider (<500),116,100,2021-02-18
Small Provider (<500),117,200,2021-02-18
Small Provider (<500),118,0,2021-02-18
Small Provider (<500),118,0,2021-02-18
Small Provider (<500),120,0,2021-02-18
Small Provider (<500),121,0,2021-02-18
Small Provider (<500),123,0,2021-02-18
Small Provider (<500),124,0,2021-02-18
Small Provider (<500),125,200,2021-02-18
Small Provider (<500),126,0,2021-02-18
Small Provider (<500),126,200,2021-02-18
Small Provider (<500),127,0,2021-02-18
Small Provider (<500),127,200,2021-02-18
Small Provider (<500),128,0,2021-02-18
Small Provider (<500),129,0,2021-02-18
Small Provider (<500),129,200,2021-02-18
Small Provider (<500),129,200,2021-02-18
Small Provider (<500),130,0,2021-02-18
Small Provider (<500),130,0,2021-02-18
Small Provider (<500),130,300,2021-02-18
Small Provider (<500),134,400,2021-02-18
Small Provider (<500),138,0,2021-02-18
Small Provider (<500),139,211,2021-02-18
Small Provider (<500),141,0,2021-02-18
Small Provider (<500),142,0,2021-02-18
Small Provider (<500),142,300,2021-02-18
Small Provider (<500),144,320,2021-02-18
Small Provider (<500),146,200,2021-02-18
Small Provider (<500),150,0,2021-02-18
Small Provider (<500),151,220,2021-02-18
Small Provider (<500),152,200,2021-02-18
Small Provider (<500),153,100,2021-02-18
Small Provider (<500),153,200,2021-02-18
Small Provider (<500),154,0,2021-02-18
Small Provider (<500),154,0,2021-02-18
Small Provider (<500),157,0,2021-02-18
Small Provider (<500),159,0,2021-02-18
Small Provider (<500),160,200,2021-02-18
Small Provider (<500),161,200,2021-02-18
Small Provider (<500),161,300,2021-02-18
Small Provider (<500),162,250,2021-02-18
Small Provider (<500),167,0,2021-02-18
Small Provider (<500),168,0,2021-02-18
Small Provider (<500),168,0,2021-02-18
Small Provider (<500),168,0,2021-02-18
Small Provider (<500),169,0,2021-02-18
Small Provider (<500),169,200,2021-02-18
Small Provider (<500),170,0,2021-02-18
Small Provider (<500),174,250,2021-02-18
Small Provider (<500),175,430,2021-02-18
Small Provider (<500),176,250,2021-02-18
Small Provider (<500),180,0,2021-02-18
Small Provider (<500),180,0,2021-02-18
Small Provider (<500),180,140,2021-02-18
Small Provider (<500),181,200,2021-02-18
Small Provider (<500),184,0,2021-02-18
Small Provider (<500),185,100,2021-02-18
Small Provider (<500),186,200,2021-02-18
Small Provider (<500),186,300,2021-02-18
Small Provider (<500),190,450,2021-02-18
Small Provider (<500),192,200,2021-02-18
Small Provider (<500),194,320,2021-02-18
Small Provider (<500),196,260,2021-02-18
Small Provider (<500),197,0,2021-02-18
Small Provider (<500),197,100,2021-02-18
Small Provider (<500),198,200,2021-02-18
Small Provider (<500),200,300,2021-02-18
Small Provider (<500),202,0,2021-02-18
Small Provider (<500),202,300,2021-02-18
Small Provider (<500),203,400,2021-02-18
Small Provider (<500),204,200,2021-02-18
Small Provider (<500),205,0,2021-02-18
Small Provider (<500),206,200,2021-02-18
Small Provider (<500),207,0,2021-02-18
Small Provider (<500),208,0,2021-02-18
Small Provider (<500),210,0,2021-02-18
Small Provider (<500),210,300,2021-02-18
Small Provider (<500),212,300,2021-02-18
Small Provider (<500),213,0,2021-02-18
Small Provider (<500),215,335,2021-02-18
Small Provider (<500),216,0,2021-02-18
Small Provider (<500),218,0,2021-02-18
Small Provider (<500),219,0,2021-02-18
Small Provider (<500),219,0,2021-02-18
Small Provider (<500),219,100,2021-02-18
Small Provider (<500),224,230,2021-02-18
Small Provider (<500),225,200,2021-02-18
Small Provider (<500),228,185,2021-02-18
Small Provider (<500),234,0,2021-02-18
Small Provider (<500),234,0,2021-02-18
Small Provider (<500),238,0,2021-02-18
Small Provider (<500),238,400,2021-02-18
Small Provider (<500),239,0,2021-02-18
Small Provider (<500),239,0,2021-02-18
Small Provider (<500),250,200,2021-02-18
Small Provider (<500),251,45,2021-02-18
Small Provider (<500),254,100,2021-02-18
Small Provider (<500),255,300,2021-02-18
Small Provider (<500),260,400,2021-02-18
Small Provider (<500),276,400,2021-02-18
Small Provider (<500),276,400,2021-02-18
Small Provider (<500),280,200,2021-02-18
Small Provider (<500),280,300,2021-02-18
Small Provider (<500),280,400,2021-02-18
Small Provider (<500),281,0,2021-02-18
Small Provider (<500),286,0,2021-02-18
Small Provider (<500),288,200,2021-02-18
Small Provider (<500),292,0,2021-02-18
Small Provider (<500),296,0,2021-02-18
Small Provider (<500),297,300,2021-02-18
Small Provider (<500),298,0,2021-02-18
Small Provider (<500),299,0,2021-02-18
Small Provider (<500),300,0,2021-02-18
Small Provider (<500),300,0,2021-02-18
Small Provider (<500),301,0,2021-02-18
Small Provider (<500),304,0,2021-02-18
Small Provider (<500),307,0,2021-02-18
Small Provider (<500),308,270,2021-02-18
Small Provider (<500),312,100,2021-02-18
Small Provider (<500),314,390,2021-02-18
Small Provider (<500),316,425,2021-02-18
Small Provider (<500),325,0,2021-02-18
Small Provider (<500),327,0,2021-02-18
Small Provider (<500),327,425,2021-02-18
Small Provider (<500),330,0,2021-02-18
Small Provider (<500),332,0,2021-02-18
Small Provider (<500),337,300,2021-02-18
Small Provider (<500),339,290,2021-02-18
Small Provider (<500),341,0,2021-02-18
Small Provider (<500),344,0,2021-02-18
Small Provider (<500),345,100,2021-02-18
Small Provider (<500),369,100,2021-02-18
Small Provider (<500),369,400,2021-02-18
Small Provider (<500),386,400,2021-02-18
Small Provider (<500),401,0,2021-02-18
Small Provider (<500),409,400,2021-02-18
Small Provider (<500),416,400,2021-02-18
Small Provider (<500),421,0,2021-02-18
Small Provider (<500),427,385,2021-02-18
Small Provider (<500),433,400,2021-02-18
Small Provider (<500),440,0,2021-02-18
Small Provider (<500),456,400,2021-02-18
Small Provider (<500),460,0,2021-02-18
Small Provider (<500),472,450,2021-02-18
Small Provider (<500),478,0,2021-02-18
Small Provider (<500),478,435,2021-02-18
Small Provider (<500),493,0,2021-02-18
Small Provider (<500),496,380,2021-02-18
Small Provider (<500),499,0,2021-02-18
SMJMG- Martha Jefferson Internal Medicine,461,500,2021-02-18
SMJMG- Palmyra Medical Associates,402,500,2021-02-18
South Hill Family Medicine,970,1020,2021-02-18
Sovah Health - Danville Hospital,5804,10470,2021-02-18
Sovah Health - Martinsville Hospital,1505,8850,2021-02-18
Sovah Occupational Employee Health Danville Hospital,3016,0,2021-02-18
SPOTSYLVANIA CO HD-CH COMPLEX,537,100,2021-02-18
SRMG- South Main Health Center,577,800,2021-02-18
SRMG- Timber Way Health Center,482,800,2021-02-18
SSHD-MECKLENBURG COUNTY HD,2479,4100,2021-02-18
State Farm EU,1642,2300,2021-02-18
Strasburg Pharmacy,444,900,2021-02-18
Sussex 2 State Prison,1844,1100,2021-02-18
The Medicine Shoppe Pharmacy 1500,484,600,2021-02-18
The Prescription Shoppe,827,900,2021-02-18
TRHD - Middlesex County Health Department,4278,5430,2021-02-18
Twin County Regional Hospital,2474,2650,2021-02-18
UVA Health System,40045,48200,2021-02-18
ValleyHealth-Winchester Medical Center,46233,51175,2021-02-18
Vandorn Apothecary Pharmacy,2463,4470,2021-02-18
VBHD-Virginia Beach Health Department,26412,32925,2021-02-18
VCU Community Memorial Hospital,2507,2990,2021-02-18
VDH-703,622,1000,2021-02-18
VDH-704,623,1000,2021-02-18
VDH-705,686,1000,2021-02-18
VDH-706,748,900,2021-02-18
VDH-724,367,500,2021-02-18
VDH-729,77,900,2021-02-18
VDH-794,524,0,2021-02-18
Vibra Hospital Of Richmond,0,500,2021-02-18
Virginia Hospital Center,16434,17650,2021-02-18
WalMart - Parent,2853,0,2021-02-18
Westwood Pharmacy,21967,26200,2021-02-18
WPHD-HENRY/MARTINSVILLE Health Department,3713,4600,2021-02-18
WTHD-SUFFOLK CITY HD,7559,9500,2021-02-18
Wythe County Community Hospital,697,1200,2021-02-18
